timestamp,frame_id,laplacian_var,hf_energy,dark_speck_density,local_contrast,haze_veil_index,color_gray_brown_shift,illumination_level,motion_blur_flag
2026-03-16T15:43:48.162Z,147,48.321696,0.0,0.145537,69.457414,0.47721,0.951522,0.47721,0
2026-03-16T15:43:48.278Z,148,48.847858,0.0,0.145895,69.520708,0.476973,0.951428,0.476973,0
2026-03-16T15:43:48.390Z,149,49.382783,0.0,0.146413,69.534321,0.476491,0.951417,0.476491,0
2026-03-16T15:43:48.504Z,150,49.123433,0.0,0.148682,69.671684,0.476325,0.951521,0.476325,0
2026-03-16T15:43:48.617Z,151,48.574611,0.0,0.144261,69.933939,0.476988,0.95137,0.476988,0
2026-03-16T15:43:48.755Z,152,52.192957,0.0,0.148568,69.7482,0.476575,0.951531,0.476575,0
2026-03-16T15:43:48.895Z,153,48.390429,0.0,0.149176,69.826617,0.47645,0.951437,0.47645,0
2026-03-16T15:43:49.038Z,154,49.124342,0.0,0.143864,69.809624,0.475906,0.951401,0.475906,0
2026-03-16T15:43:49.181Z,155,48.473307,0.0,0.14985,69.837863,0.47601,0.951466,0.47601,0
2026-03-16T15:43:49.297Z,156,48.514524,0.0,0.149694,69.814864,0.475689,0.951577,0.475689,0
2026-03-16T15:43:49.439Z,157,47.751903,0.0,0.149671,69.821093,0.475883,0.951488,0.475883,0
2026-03-16T15:43:49.583Z,158,48.223848,0.0,0.144336,69.793589,0.475806,0.951521,0.475806,0
2026-03-16T15:43:49.726Z,159,48.426563,0.0,0.14971,69.762817,0.475648,0.951599,0.475648,0
2026-03-16T15:43:49.870Z,160,48.168185,0.0,0.149053,69.765975,0.475735,0.951563,0.475735,0
2026-03-16T15:43:50.013Z,161,48.452454,0.0,0.149411,69.791239,0.475923,0.951416,0.475923,0
2026-03-16T15:43:50.156Z,162,48.290065,0.0,0.148737,69.768382,0.47615,0.951686,0.47615,0
2026-03-16T15:43:50.300Z,163,44.96665,0.0,0.146162,69.700444,0.477196,0.95148,0.477196,0
2026-03-16T15:43:50.441Z,164,48.62027,0.0,0.147695,67.98509,0.478687,0.951404,0.478687,0
2026-03-16T15:43:50.582Z,165,49.956225,0.0,0.142588,68.359743,0.477421,0.951538,0.477421,0
2026-03-16T15:43:50.698Z,166,49.630577,0.0,0.143206,68.337866,0.477617,0.951547,0.477617,0
2026-03-16T15:43:50.841Z,167,51.744669,0.0,0.141901,68.404018,0.478891,0.951334,0.478891,0
2026-03-16T15:43:50.985Z,168,49.987215,0.0,0.149538,68.373506,0.479523,0.951454,0.479523,0
2026-03-16T15:43:51.125Z,169,52.552774,0.0,0.148457,68.496085,0.481151,0.951337,0.481151,0
2026-03-16T15:43:51.268Z,170,50.80335,0.0,0.147318,68.407627,0.481807,0.95148,0.481807,0
2026-03-16T15:43:51.413Z,171,46.373071,0.0,0.146836,68.318482,0.480854,0.951488,0.480854,0
2026-03-16T15:43:51.530Z,172,51.688664,0.0,0.146191,68.334871,0.481141,0.951511,0.481141,0
2026-03-16T15:43:51.676Z,173,49.695458,0.0,0.14777,68.394917,0.480922,0.951528,0.480922,0
2026-03-16T15:43:51.795Z,174,50.483643,0.0,0.147048,68.243459,0.479984,0.951573,0.479984,0
2026-03-16T15:43:51.937Z,175,51.193705,0.0,0.147409,68.18697,0.478389,0.951654,0.478389,0
2026-03-16T15:43:52.088Z,176,50.599705,0.0,0.147503,68.337419,0.479671,0.951723,0.479671,0
2026-03-16T15:43:52.232Z,177,51.36704,0.0,0.14722,68.309138,0.479384,0.951548,0.479384,0
2026-03-16T15:43:52.381Z,178,49.215889,0.0,0.147845,68.324219,0.479002,0.951733,0.479002,0
2026-03-16T15:43:52.495Z,179,49.789686,0.0,0.14859,68.3286,0.478909,0.951736,0.478909,0
2026-03-16T15:43:52.634Z,180,50.257411,0.0,0.148434,68.376043,0.479424,0.951733,0.479424,0
2026-03-16T15:43:52.776Z,181,50.394894,0.0,0.149215,68.330324,0.478777,0.951719,0.478777,0
2026-03-16T15:43:52.919Z,182,52.143452,0.0,0.149329,68.251501,0.477531,0.95187,0.477531,0
2026-03-16T15:43:53.044Z,183,50.52144,0.0,0.148688,68.27281,0.477889,0.951827,0.477889,0
2026-03-16T15:43:53.188Z,184,50.246893,0.0,0.148398,68.298976,0.478395,0.951873,0.478395,0
2026-03-16T15:43:53.327Z,185,49.655542,0.0,0.149336,68.306011,0.477855,0.951911,0.477855,0
2026-03-16T15:43:53.468Z,186,52.800878,0.0,0.149072,68.055084,0.47571,0.95188,0.47571,0
2026-03-16T15:43:53.611Z,187,52.329283,0.0,0.149518,68.284368,0.478087,0.951732,0.478087,0
2026-03-16T15:43:53.756Z,188,52.588887,0.0,0.14111,68.255821,0.477316,0.951916,0.477316,0
